OBJECTID,PERIMETER,S_HOOD,L_HOOD,L_HOODID,SYMBOL,SYMBOL2,AREA,HOODS_,HOODS_ID,SHAPE_Length,SHAPE_Area
1,617.843,OOO, ,0,0,0,3588.443,2,0,617.842613807093,3588.44238459931
2,733.568,OOO, ,0,0,0,22294.777,3,0,733.568416352699,22294.7817064266
3,4088.442,OOO, ,0,0,0,56695.367,5,0,4088.44173918178,56695.3574901714
4,1809.446,OOO, ,0,0,0,64156.813,6,0,1809.44574773344,64156.8217795445
5,250.33,OOO, ,0,0,0,2993.164,7,0,250.330361596047,2993.16132802547
6,408.586,OOO, ,0,0,0,11371.064,8,0,408.586557433652,11371.0666351638
7,474.931,OOO, ,0,0,0,13157.798,9,0,474.931190231502,13157.7996598086
8,197.126,OOO, ,0,0,0,2664.951,10,0,197.125845665571,2664.95112921139
9,184.87,OOO, ,0,0,0,1773.268,11,0,184.869515877985,1773.26797773812
10,1688.76,OOO, ,0,0,0,119022.555,12,0,1688.75949953905,119022.546764535
11,239.993,OOO, ,0,0,0,2609.426,13,0,239.993310273637,2609.42661399663
12,271.169,OOO, ,0,0,0,3129.215,14,0,271.168918229455,3129.21533395573
13,434.345,OOO, ,0,0,0,6258.477,15,0,434.344768428773,6258.47320600657
14,403.787,OOO, ,0,0,0,11386.205,16,0,403.786854047088,11386.2057816123
15,666.719,OOO, ,0,0,0,16989.307,17,0,666.718682222447,16989.3110839388
16,216.947,OOO, ,0,0,0,2708.875,18,0,216.947229648446,2708.87724915154
17,143.478,OOO, ,0,0,0,724.584,19,0,143.478397397616,724.58383275055
18,130.735,OOO, ,0,0,0,771.578,20,0,130.73519393442,771.578425561474
19,6965.418,OOO, ,0,0,0,1462592.125,21,0,6965.41870256196,1462592.11624231
20,2492.09,OOO, ,0,0,0,180407.391,22,0,2492.09010533228,180407.38463329
21,286.629,OOO, ,0,0,0,3248.042,23,0,286.629261341454,3248.04322212091
22,567.65,OOO, ,0,0,0,14182.403,24,0,567.649955193978,14182.4074468363
23,577.787,OOO, ,0,0,0,18946.48,25,0,577.786808107519,18946.481205838
24,403.76,OOO, ,0,0,0,9928.967,26,0,403.759855347825,9928.96055426224
25,730.198,OOO, ,0,0,0,35565.781,27,0,730.198335292573,35565.7868156972
26,86.526,OOO, ,0,0,0,485.584,28,0,86.5262739469077,485.584154436523
27,18831.01,Loyal Heights,BALLARD,7,11,23,21320656,29,120,18831.00959637,21320655.5455311
28,27347.494,Adams,BALLARD,7,11,33,22431280,30,129,27347.4943501626,22431280.7907731
29,15934.439,Whittier Heights,BALLARD,7,11,24,14195687,31,121,15934.4392663199,14195687.4919173
30,21789.65,West Woodland,BALLARD,7,11,9,22199366,32,130,21789.6510873493,22199366.873256
31,27120.785,Phinney Ridge,NO BROADER TERM,6,9,95,32123118,33,126,27120.7859379681,32123117.878249
32,33040.246,Wallingford,NO BROADER TERM,6,9,19,42068344,34,133,33040.2469861198,42068342.6137892
33,25999.285,Fremont,NO BROADER TERM,6,9,94,26503756,35,137,25999.2849357187,26503756.5714898
34,25387.707,Green Lake,NO BROADER TERM,6,9,24,37314628,36,123,25387.7074962486,37314629.7891883
35,22657.039,View Ridge,NO BROADER TERM,4,5,94,25612980,37,119,22657.0394732799,25612979.9439889
36,30993.6,Ravenna,NO BROADER TERM,4,5,81,37020968,38,125,30993.6002139454,37020968.8724686
37,21396.695,Sand Point,NO BROADER TERM,4,5,19,19249858,39,196,21396.6958008648,19249857.1397437
38,20928.002,Bryant,NO BROADER TERM,4,5,24,15485078,40,128,20928.0017243062,15485078.0332214
39,33332.828,Windermere,NO BROADER TERM,4,5,23,22363966,41,131,33332.8291968304,22363966.6237898
40,26489.242,Laurelhurst,NO BROADER TERM,4,5,95,19051776,42,136,26489.2422321737,19051776.818691
41,22865.453,Roosevelt,NO BROADER TERM,4,5,95,21491312,43,124,22865.4526359217,21491312.2283057
42,41446.941,University District,UNIVERSITY DISTRICT,5,12,33,49348388,44,139,41446.9413212593,49348387.0581428
43,21488.398,East Queen Anne,QUEEN ANNE,10,7,23,19354700,45,145,21488.397378299,19354699.5960785
44,20631.705,West Queen Anne,QUEEN ANNE,10,7,94,17974986,46,148,20631.7057292923,17974985.9526363
45,20496.729,Lower Queen Anne,QUEEN ANNE,10,7,9,17515624,47,152,20496.7289222394,17515624.4570263
46,26753.555,North Queen Anne,QUEEN ANNE,10,7,19,29604288,48,140,26753.5542817429,29604288.3329632
47,11017.323,Westlake,CASCADE,12,10,0,3645184,49,202,11017.3231739615,3645184.0790407
48,16672.512,Eastlake,CASCADE,12,10,94,7426908,50,142,16672.5117837403,7426907.96142615
49,29323.547,South Lake Union,CASCADE,12,10,95,16107105,51,200,29323.5462843847,16107105.4191268
50,38766.066,Lawton Park,MAGNOLIA,8,4,23,55091524,52,134,38766.0673349107,55091525.2909393
51,26609.791,Briarcliff,MAGNOLIA,8,4,81,26550936,53,141,26609.7912261135,26550936.5785577
52,20223.18,Southeast Magnolia,MAGNOLIA,8,4,24,18469264,54,144,20223.1801501522,18469263.8881213
53,17052.943,Madrona,CENTRAL AREA,14,8,0,13845483,55,158,17052.9427067693,13845482.8083702
54,17241.273,Harrison/Denny-Blaine,CENTRAL AREA,14,8,94,13603396,56,153,17241.2743191595,13603395.6728492
55,18241.549,Minor,CENTRAL AREA,14,8,94,17933144,57,157,18241.5487859812,17933144.708402
56,20413.057,Leschi,CENTRAL AREA,14,8,19,18091742,58,161,20413.0560516882,18091741.376667
57,17843.105,Mann,CENTRAL AREA,14,8,95,11133829,59,155,17843.105758736,11133828.8620472
58,25426.23,Atlantic,CENTRAL AREA,14,8,24,20664986,60,165,25426.2311626675,20664986.2729216
59,7326.582,Pike-Market,DOWNTOWN,13,11,0,2343359.25,61,201,7326.58173024624,2343359.32606369
60,21967.6,Belltown,DOWNTOWN,13,11,81,14974037,62,156,21967.5994599227,14974037.0994289
61,11772.387,International District,DOWNTOWN,13,11,94,6169376,63,164,11772.3871410021,6169375.81663302
62,18209.463,Central Business District,DOWNTOWN,13,11,95,9477399,64,159,18209.4628624588,9477398.61856224
63,13225.233,First Hill,DOWNTOWN,13,11,33,9517568,65,160,13225.2335159542,9517568.47363772
64,9611.354,Yesler Terrace,DOWNTOWN,13,11,81,5348937.5,66,162,9611.35354641661,5348937.24761222
65,19289.813,Pioneer Square,DOWNTOWN,13,11,33,11474029,67,163,19289.8121750029,11474028.6476242
66,64207.586,Interbay,INTERBAY,9,12,95,33503942,68,199,64207.5867611718,33503941.0927202
67,49792.156,Industrial District,NO BROADER TERM,18,12,23,82845392,69,167,49792.1548353805,82845389.3470229
68,45963.664,Georgetown,NO BROADER TERM,18,12,81,51305072,70,177,45963.6656769607,51305072.6462583
69,30433.404,South Park,NO BROADER TERM,18,12,9,29423452,71,187,30433.4048686311,29423452.1520939
70,24381.297,Harbor Island,NO BROADER TERM,18,12,81,17832300,72,197,24381.2966280601,17832300.735467
71,23122.264,Seaview,WEST SEATTLE,19,9,19,18463062,73,178,23122.2640032568,18463061.7979086
72,23801.266,Gatewood,WEST SEATTLE,19,9,81,22821708,74,184,23801.2647005122,22821707.4688561
73,28162.436,Arbor Heights,WEST SEATTLE,19,9,95,26197314,75,193,28162.4351386166,26197314.0573393
74,45568.137,Alki,WEST SEATTLE,19,9,81,24583470,76,168,45568.1378536906,24583469.1840154
75,30687.785,North Admiral,WEST SEATTLE,19,9,24,48581416,77,169,30687.7844700837,48581416.3202323
76,24955.713,Fairmount Park,WEST SEATTLE,19,9,9,16153900,78,176,24955.7128414259,16153900.097701
77,19870.869,Genesee,WEST SEATTLE,19,9,95,21164976,79,175,19870.8696089241,21164976.5812906
78,42276.531,Fauntleroy,WEST SEATTLE,19,9,23,33881864,80,189,42276.5317877774,33881863.8706564
79,33865.488,North Beacon Hill,BEACON HILL,17,5,9,48475916,81,166,33865.4891739901,48475914.4556688
80,40522.184,Mid-Beacon Hill,BEACON HILL,17,5,95,52620472,82,172,40522.1829275323,52620470.7885509
81,38996.715,South Beacon Hill,BEACON HILL,17,5,23,38448828,83,183,38996.7151070849,38448826.898964
82,15848.362,Holly Park,BEACON HILL,17,5,24,8444236,84,186,15848.3624185113,8444235.97860886
83,18911.33,Brighton,RAINIER VALLEY,15,4,19,18366938,85,185,18911.3293490837,18366938.2751869
84,20847.652,Dunlap,RAINIER VALLEY,15,4,9,19601602,86,192,20847.6531922997,19601601.2153486
85,34965.613,Rainier Beach,RAINIER VALLEY,15,4,81,33128236,87,194,34965.6132100475,33128236.1413029
86,34791.82,Rainier View,RAINIER VALLEY,15,4,95,18248566,88,195,34791.8218147105,18248566.1794617
87,26318.982,Mount Baker,RAINIER VALLEY,15,4,23,28986996,89,170,26318.9819054871,28986995.2344819
88,35177.063,Columbia City,RAINIER VALLEY,15,4,94,37406576,90,179,35177.0608039675,37406576.4926322
89,31111.063,Highland Park,DELRIDGE,20,10,23,39810332,91,188,31111.0630837714,39810333.4159495
90,23549.932,North Delridge,DELRIDGE,20,10,23,29454656,92,174,23549.9313666304,29454656.5671786
91,25917.117,Riverview,DELRIDGE,20,10,24,33038268,93,180,25917.1176391015,33038267.1928437
92,23180.396,High Point,DELRIDGE,20,10,95,23343008,94,182,23180.3963596714,23343008.3367821
93,23416.34,South Delridge,DELRIDGE,20,10,94,17923316,95,190,23416.3405359794,17923316.2239634
94,22360.047,Roxhill,DELRIDGE,20,10,0,18781060,96,191,22360.0472289145,18781059.8441606
95,52212.785,Seward Park,SEWARD PARK,16,11,95,43835280,97,173,52212.7868103531,43835279.0059161
96,23840.219,Wedgwood,NO BROADER TERM,4,5,23,30599714,98,117,23840.2187274324,30599713.6260584
97,10013.274,Portage Bay,CAPITOL HILL,11,3,23,4421635.5,99,143,10013.2739563989,4421635.26733675
98,34138.93,Montlake,CAPITOL HILL,11,3,9,19763186,100,146,34138.9278792123,19763186.5663296
99,26230.434,Madison Park,CAPITOL HILL,11,3,95,24680950,101,147,26230.4347480002,24680950.2222778
100,26851.947,Broadway,CAPITOL HILL,11,3,0,30239240,102,151,26851.9474418256,30239240.5212978
101,25522.346,Stevens,CAPITOL HILL,11,3,23,26039592,103,149,25522.3456368768,26039592.0791212
102,20753.002,Victory Heights,LAKE CITY,3,3,95,21512732,104,106,20753.0018992847,21512731.4891813
103,31987.734,Matthews Beach,LAKE CITY,3,3,95,30977390,105,107,31987.735324848,30977390.242552
104,18770.281,Meadowbrook,LAKE CITY,3,3,24,17034848,106,108,18770.2820324215,17034848.7791244
105,19993.816,Olympic Hills,LAKE CITY,3,3,9,25836742,107,104,19993.8160570763,25836742.1639738
106,22788.76,Cedar Park,LAKE CITY,3,3,19,20441486,108,105,22788.760382662,20441485.848746
107,58047.309,Industrial District,NO BROADER TERM,18,12,95,24681990,109,198,58047.3074138708,24681989.6006174
108,230.17, , ,0,0,0,2046.117,110,0,230.169432397238,2046.11771879749
109,3664.745, , ,0,0,0,581389.125,111,0,3664.7450842387,581389.115358308
110,34640.309,Broadview,NO BROADER TERM,1,2,95,48113448,112,100,34640.309665739,48113449.7301495
111,26446.203,Bitter Lake,NO BROADER TERM,1,2,23,27690336,113,101,26446.2030540938,27690336.4439095
112,29413.553,Haller Lake,NORTHGATE,2,10,95,47203080,114,102,29413.5534484151,47203081.0795584
113,26171.271,Pinehurst,NORTHGATE,2,10,81,29438850,115,103,26171.2717608103,29438850.8770743
114,32947.805,North Beach/Blue Ridge,NO BROADER TERM,1,2,33,31062266,116,109,32947.8059119899,31062264.9913698
115,20132.898,North College Park,NORTHGATE,2,10,9,21704706,117,110,20132.8982458333,21704706.2614558
116,25503.057,Maple Leaf,NORTHGATE,2,10,94,34380472,118,112,25503.0574082691,34380470.7825611
117,18997.809,Crown Hill,NO BROADER TERM,1,2,95,15865750,119,113,18997.8080379411,15865750.4197535
118,26501.527,Greenwood,NO BROADER TERM,1,2,19,42044564,120,115,26501.5265911049,42044563.6731843
119,29416.73,Sunset Hill,BALLARD,7,11,81,24335620,121,116,29416.7300633571,24335620.4694022
